recommendedVideoURL,top20,recommendedAuthor,recommendedTitle,thumbnail,step,amount,equivalent,related,unrelated
https://youtube.com/watch?v=3_qpDtfLgs8,TRUE,Song Bike - jkehew1,The D-C-G Trick : What Famous Bands Did With Easy Chords!,https://i.ytimg.com/vi/3_qpDtfLgs8/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=JGqfNqCa0wk,FALSE,David Valencia,"🔴 Jeff Bezos Live | Amazon, Bitcoin Evolution, Anti-Bearish Coalition, Investments News",https://i.ytimg.com/vi/JGqfNqCa0wk/mqdefault.jpg,English,2,,,x
https://youtube.com/watch?v=P-eKIGX2inw,FALSE,euronews (em português),euronews em direto,https://i.ytimg.com/vi/P-eKIGX2inw/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=bydILYTQUsA,FALSE,Hindustan Times,‘India has tremendous capacity to combat COVID-19’: WHO Executive Director,https://i.ytimg.com/vi/bydILYTQUsA/mqdefault.jpg,English,3,x,,
https://youtube.com/watch?v=rTen9Ly4Ff4,FALSE,Team TST,*Live* Fortnite Fashion Show Live | Gifting Winners Custom Matchmaking Solo|Duo|Squads Fortnite Live,https://i.ytimg.com/vi/rTen9Ly4Ff4/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=qf3Ih0kNvlU,FALSE,SciShow,How Dangerous is COVID-19? | SciShow News,https://i.ytimg.com/vi/qf3Ih0kNvlU/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=m1hQ01tB1_Y,FALSE,CBC News: The National,"‘Enough is enough,’ Trudeau toughens talk on isolation",https://i.ytimg.com/vi/m1hQ01tB1_Y/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=gY11sdJtJyg,FALSE,CityNews Toronto,Ontario orders all non-essential businesses to close,https://i.ytimg.com/vi/gY11sdJtJyg/mqdefault.jpg,English,2,x,,
https://youtube.com/watch?v=cjUOpvmDE7k,FALSE,Dr. Eric Berg DC,Susceptibility to the Coronavirus? No One is Talking About This,https://i.ytimg.com/vi/cjUOpvmDE7k/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=ZtP93DQ32mU,FALSE,TV9 Telugu Live,India Under Lockdown LIVE || Coronavirus In India LIVE Updates - TV9,https://i.ytimg.com/vi/ZtP93DQ32mU/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=XJHypGEwY2c,FALSE,Joshua Weissman,Recreating Nashville Hot Chicken,https://i.ytimg.com/vi/XJHypGEwY2c/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=W5yVGmfivAk,FALSE,Dr. John Campbell,Vitamin D and immunity,https://i.ytimg.com/vi/W5yVGmfivAk/mqdefault.jpg,English,1,,x,
